Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float8,standard,4,6250000,6250000,2500,0.315938,0.025224609375,0.669658203125,4.752597590727676e-08,0.0,9.034873543756205e-19,0.0,1946044040.3483589,1946044040.3483586
float,standard,3,6250000,6250000,2500,0.274353,0.229228515625,0.57333984375,595.4516676558322,0.002025163819760769,141.8250754056447,1.640515398747212e-09,1556870.9643482687,1556673.6
float,standard,4,6250000,6250000,2500,0.261176,0.024775390625,0.69052734375,4.714964254419907e-08,1321.9740442851414,8.892355168182987e-19,699.0461495054452,1946044040.3483589,1945978400.0
float8,standard,3,25000000,25000000,5000,0.444208,0.865439453125,1.5,1157.6284157114912,0.0,268.0207097725395,0.0,6150905.194805306,6150687.711397952
float8,standard,4,25000000,25000000,5000,0.492564,0.02873046875,1.95,4.174359307982912e-07,0.0,3.4850551264287153e-17,0.0,15377048611.71183,15377048611.711828
float,standard,3,25000000,25000000,5000,0.433501,0.86447265625,1.51,1157.6284157114887,0.006891381174512885,268.0207097725383,9.498226898486118e-09,6150905.194805307,6150688.0
float,standard,4,25000000,25000000,5000,0.480211,0.028876953125,1.91,4.1121793968273766e-07,14829.316128890789,3.382003878338313e-17,43981.723370116095,15377048611.71183,15376001000.0
float8,standard,3,56250000,56250000,7500,0.770497,1.74,3.0,1757.8473279820944,0.0,412.00363046583857,0.0,13994264.175728515,13993469.418190004
float8,standard,4,56250000,56250000,7500,0.714048,0.031474609375,3.88,1.180222368019235e-06,0.0,1.8572331172972412e-16,0.0,52475671384.38891,52475671384.3889
float,standard,3,56250000,56250000,7500,0.731127,1.74,3.0,1757.8473279821037,0.012853344285286793,412.0036304658429,2.2027794575481958e-08,13994264.175728515,13993470.0
float,standard,4,56250000,56250000,7500,0.707346,0.031494140625,3.92,1.1886128184564286e-06,58157.722142675804,1.8837339095985802e-16,450976.0859766245,52475671384.38891,52470637000.0
float8,standard,3,100000000,100000000,10000,1.071239,1.85,5.2,2357.6228907291033,0.0,555.8385694889853,0.0,25067537.110209703,25068973.446311943
float8,standard,4,100000000,100000000,10000,1.052663,0.03294921875,6.71,3.915599097469641e-06,0.0,1.5331916292105063e-15,0.0,125353171578.35623,125353171578.35623
float,standard,3,100000000,100000000,10000,0.99988,1.85,5.22,2357.6228907290993,0.016213711597645276,555.8385694889835,2.6288444377161692e-08,25067537.1102097,25068976.0
float,standard,4,100000000,100000000,10000,1.003094,0.03294921875,6.8,3.958204650694979e-06,172146.04522853924,1.5667384056783362e-15,2963426.088782628,125353171578.35623,125335960000.0
